forecast_date,forecasted_emissions
2025-09-27,779.3083405519587
2025-09-28,767.6795046139878
2025-09-29,839.2744018881234
2025-09-30,757.2732165306165
2025-10-01,893.26781419
2025-10-02,822.2365150022224
2025-10-03,826.9574946472164
2025-10-04,785.3760355472575
2025-10-05,754.8424386677966
2025-10-06,827.697582798457
2025-10-07,765.5969878163796
2025-10-08,886.8661681439708
2025-10-09,851.1144969233515
2025-10-10,862.8123342888503
2025-10-11,783.6131385959071
2025-10-12,756.7763987319736
2025-10-13,826.3817508027588
2025-10-14,766.9948912943071
2025-10-15,885.4198763605648
2025-10-16,851.9916965900841
2025-10-17,860.2971222953811
2025-10-18,785.2652887736398
2025-10-19,755.1201762667506
2025-10-20,828.0220726099889
2025-10-21,765.3527493329549
2025-10-22,887.062986057467
2025-10-23,850.3632464176173
2025-10-24,861.9667707645126
2025-10-25,783.6177395826854
2025-10-26,756.7675718000658
